日付,曜日,区分,フェーズ,Focus,午前,午後,夕方/夜,TOEIC,時間(h),進捗,今日の最重要タスク,メモ
2026-09-04,金,勉強,Phase 2,TOEIC強化 + 物理維持,解析力学Ⅱ,量子力学Ⅱ,制御,LC/RC/語彙,6.5,,,
2026-09-05,土,勉強,Phase 2,TOEIC模試,TOEIC模試,量子力学Ⅱ,電磁気,LC/RC/語彙,7,,,
2026-09-06,日,勉強,Phase 2,TOEIC模試,TOEIC模試,解析力学Ⅱ,統計力学,LC/RC/語彙,7,,,
2026-09-07,月,勉強,Phase 2,TOEIC強化 + 物理維持,解析力学Ⅱ,量子力学Ⅱ,電磁気,LC/RC/語彙,6.5,,,
2026-09-08,火,勉強,Phase 2,TOEIC強化 + 物理維持,量子力学Ⅱ,解析力学Ⅱ,統計力学,LC/RC/語彙,6.5,,,
2026-09-09,水,勉強,Phase 2,TOEIC強化 + 物理維持,解析力学Ⅱ,電磁気,固体物理,LC/RC/語彙,6.5,,,
2026-09-10,木,勉強,Phase 2,TOEIC強化 + 物理維持,量子力学Ⅱ,統計力学,光学,LC/RC/語彙,6.5,,,
2026-09-11,金,勉強,Phase 2,TOEIC強化 + 物理維持,解析力学Ⅱ,量子力学Ⅱ,制御,LC/RC/語彙,6.5,,,
2026-09-12,土,勉強,Phase 2,TOEIC模試,TOEIC模試,量子力学Ⅱ,電磁気,LC/RC/語彙,7,,,
2026-09-13,日,勉強,Phase 2,TOEIC模試,TOEIC模試,解析力学Ⅱ,統計力学,LC/RC/語彙,7,,,
2026-09-14,月,勉強,Phase 2,TOEIC強化 + 物理維持,解析力学Ⅱ,量子力学Ⅱ,電磁気,LC/RC/語彙,6.5,,,
2026-09-15,火,勉強,Phase 2,TOEIC強化 + 物理維持,量子力学Ⅱ,解析力学Ⅱ,統計力学,LC/RC/語彙,6.5,,,
2026-09-16,水,勉強,Phase 2,TOEIC強化 + 物理維持,解析力学Ⅱ,電磁気,固体物理,LC/RC/語彙,6.5,,,
2026-09-17,木,勉強,Phase 2,TOEIC強化 + 物理維持,量子力学Ⅱ,統計力学,光学,LC/RC/語彙,6.5,,,
2026-09-18,金,勉強,Phase 2,TOEIC強化 + 物理維持,解析力学Ⅱ,量子力学Ⅱ,制御,LC/RC/語彙,6.5,,,
2026-09-19,土,勉強,Phase 2,TOEIC模試,TOEIC模試,量子力学Ⅱ,電磁気,LC/RC/語彙,7,,,
2026-09-20,日,勉強,Phase 2,TOEIC模試,TOEIC模試,解析力学Ⅱ,統計力学,LC/RC/語彙,7,,,
2026-09-21,月,勉強,Phase 3,TOEIC直前,TOEIC,解析/量子軽復習,ミスノート,直前復習,6,,,
2026-09-22,火,勉強,Phase 3,TOEIC直前,TOEIC,解析/量子軽復習,ミスノート,直前復習,6,,,
2026-09-23,水,勉強,Phase 3,TOEIC直前,TOEIC,解析/量子軽復習,ミスノート,直前復習,6,,,
2026-09-24,木,勉強,Phase 3,TOEIC直前,TOEIC,解析/量子軽復習,ミスノート,直前復習,6,,,
2026-09-25,金,勉強,Phase 3,TOEIC直前,TOEIC,解析/量子軽復習,ミスノート,直前復習,6,,,
2026-09-26,土,勉強,Phase 3,TOEIC模試,TOEIC,TOEIC復習,軽い物理,直前復習,6,,,
2026-09-27,日,TOEIC本番,Phase 4,TOEIC本番,TOEIC,TOEIC本番,回復,直前復習,3,,,
2026-09-28,月,勉強,Phase 5,物理復帰,統計力学,固体物理,電磁気,直前復習,6,,,
2026-09-29,火,勉強,Phase 5,物理復帰,固体物理,光学,電磁気,直前復習,6,,,
2026-09-30,水,勉強,Phase 5,物理復帰,解析・量子棚卸し,秋計画,電磁気,直前復習,6,,,
